,sentence,cleansed_target,cleansed_stopwords
487,위치와 주변 모든것들이 강릉을 즐기기에 아주 좋았어요,"['위치', '주변', '강릉', '즐기', '좋', '어요']","['위치', '주변', '강릉', '즐기', '어요']"
488,침구.욕실.전망.다 좋앗어요~,"['침구', '욕실', '전망', '좋']","['침구', '욕실', '전망']"
489,친절하고 깔끔합니당 :),"['친절', '고']","['친절', '고']"
490,가성비 기대이상입니다  안좋은평이 있어서 기대없이 방문했는데  주변 위락시설도좋고 룸컨디션도 기대이상이었어요  다만 휴일이라 사람이 엄청몰려서 코로나예방으로 열체크같은부분이 제대로 되지않은거같아 걱정이되었어요,"['성비', '기대', '이상', 'ㅂ니다', '안', '좋', '은평', '있', '어서', '기대', '방문', '는데', '주변', '위락', '시설', '좋', '고', '룸', '컨디션', '기대', '이상', '어요', '휴일', '라', '사람', '몰리', '어서', '코로나', '예방', '열', '체크', '같', '부분', '되', '지', '같', '아', '걱정', '어요']","['성비', '기대', '이상', 'ㅂ니다', '은평', '있', '어서', '기대', '방문', '는데', '주변', '위락', '시설', '고', '룸', '컨디션', '기대', '이상', '어요', '휴일', '라', '몰리', '어서', '코로나', '예방', '열', '체크', '부분', '아', '걱정', '어요']"
491,청결하고 친절합니다,"['청결', '고', '친절', 'ㅂ니다']","['청결', '고', '친절', 'ㅂ니다']"
492,강아지를 동반하다보니 숙소를 고를 때 많은 것을 신경써야했는데 이 호텔은 관련 서비스가 잘되어있어서 처음 고르게 되었던 것 같아요. 히노끼탕으로 강아지 목욕도 편안히 시킬 수 있었고 드라이룸으로 빠른 드라이도 가능했습니다. 들어갈 때 주시는 간식까지.! 바로 앞에는 바닷가라 언제든 산책을 하고 편히 들어갈 수 있다는 점까지 너무 만족스러웠습니다. 다음에 또 방문할 것 같아요!,"['강아지', '동반', '다보니', '숙소', '고르', '때', '많', '신경', '쓰', '어야', '는데', '호텔', '관련', '서비스', '어', '어서', '처음', '고르', '게', '되', '같', '히노', '끼', '탕', '강아지', '목욕', '시키', '고', '되', '라', '이룸', '빠르', '드라이', '가능', '들어가', '때', '간식', '앞', '바닷가', '라', '산책', '하', '고', '들어가', '있', '점', '만족', '다음', '방문', '같']","['강아지', '동반', '다보니', '숙소', '고르', '신경', '쓰', '어야', '는데', '호텔', '관련', '서비스', '어', '어서', '처음', '고르', '게', '히노', '끼', '탕', '강아지', '목욕', '고', '라', '이룸', '빠르', '드라이', '가능', '들어가', '간식', '바닷가', '라', '산책', '고', '들어가', '있', '만족', '다음', '방문']"
493,강아지랑 있기 최고에요,"['강아지', '있', '최고']","['강아지', '있', '최고']"
494,직원분들 진짜 친절해요. 위치 완전 좋아요.,"['직원', '친절', '위치', '완전', '좋']","['직원', '친절', '위치', '완전']"
495,청결하고 위치가 좋아요,"['청결', '고', '위치', '좋', '아요']","['청결', '고', '위치', '아요']"
496,"친절한 직원, 빠른 서비스~","['친절', '직원', '빠르', '서비스']","['친절', '직원', '빠르', '서비스']"
497,친절한 직원들 빠른 서비스~~,"['친절', '직원', '빠르', '서비스']","['친절', '직원', '빠르', '서비스']"
498,가격이나 위치적으로 좋았습니다. 직원분들 친철도 또한 4성이상이라는 생각이 들더군요.,"['가격', '위치', '좋', '직원', '친철', '이상', '생각', '들']","['가격', '위치', '직원', '친철', '이상']"
499,어디든 가기 가까워서 좋았어요,"['가', '가깝', '어서', '좋', '어요']","['가깝', '어서', '어요']"
500,"청소하시는 직원분의 친절함과 센스는 좋았습니다. 2박하는 동안 방청소를 일부러 안했는데, 문고리에 새 수건과 물을 문고리에 걸어놓으시고, 방에 들어오니 바로 오셔서 청소할것 없냐고 물어봐주시고","['청소', '직원', '친절', '센스', '좋', '동안', '방', '청소', '안', '는데', '문고리', '수건', '물', '문고리', '걷', '어', '고', '방', '들어오', '니', '오', '어서', '청소', '없', '냐고', '물어보', '아', '고']","['청소', '직원', '친절', '센스', '동안', '방', '청소', '는데', '문고리', '수건', '물', '문고리', '걷', '어', '고', '방', '들어오', '니', '어서', '청소', '냐고', '물어보', '아', '고']"
501,주위경관.실내쾌적. 다 좋아요,"['주위', '경관', '실내', '좋', '아요']","['주위', '경관', '실내', '아요']"
